,Unnamed: 0,issued time,user id,districts,organizer id
0,0,2020-02-18 00:02:00,1998,longgang,1527
1,1,2020-02-18 00:12:00,1998,longgang,1527
2,2,2020-02-18 00:23:00,1608,baoan,676
3,3,2020-02-18 02:25:00,1883,guangming,1619
4,4,2020-02-18 02:25:00,7699,guangming,1619
5,5,2020-02-18 02:25:00,2061,guangming,1619
6,6,2020-02-18 02:38:00,7970,guangming,1619
7,7,2020-02-18 02:38:00,7699,guangming,1619
8,8,2020-02-18 02:38:00,7018,guangming,1619
9,9,2020-02-18 02:38:00,7018,guangming,1619
10,10,2020-02-18 02:38:00,6184,guangming,1619
11,11,2020-02-18 02:38:00,5599,guangming,1619
12,12,2020-02-18 02:38:00,2619,guangming,1619
13,13,2020-02-18 07:41:00,1635,yantian,1634
14,14,2020-02-18 07:41:00,1652,yantian,1634
15,15,2020-02-18 07:41:00,1654,yantian,1634
16,16,2020-02-18 07:41:00,1667,yantian,1634
17,17,2020-02-18 07:41:00,1670,yantian,1634
18,18,2020-02-18 07:41:00,1672,yantian,1634
19,19,2020-02-18 07:41:00,1787,yantian,1634
20,20,2020-02-18 07:41:00,1701,yantian,1634
21,21,2020-02-18 07:41:00,1701,yantian,1634
22,22,2020-02-18 07:41:00,1795,yantian,1634
23,23,2020-02-18 07:41:00,2914,yantian,1634
24,24,2020-02-18 07:41:00,3045,yantian,1634
25,25,2020-02-18 07:41:00,1681,yantian,1634
26,26,2020-02-18 07:41:00,2685,yantian,1634
27,27,2020-02-18 07:59:00,1677,baoan,1145
28,28,2020-02-18 07:59:00,6514,baoan,1145
29,29,2020-02-18 07:59:00,12386,baoan,1145
30,30,2020-02-18 08:13:00,2366,nanshan,1632
31,31,2020-02-18 08:13:00,1782,nanshan,1632
32,32,2020-02-18 08:13:00,1675,nanshan,1632
33,33,2020-02-18 08:13:00,1650,nanshan,1632
34,34,2020-02-18 08:13:00,573,nanshan,1632
35,35,2020-02-18 08:28:00,2904,dapeng,-1
36,36,2020-02-18 08:28:00,2644,dapeng,-1
37,37,2020-02-18 08:28:00,1908,dapeng,-1
38,38,2020-02-18 08:28:00,1867,dapeng,-1
39,39,2020-02-18 08:28:00,1832,dapeng,-1
40,40,2020-02-18 08:36:00,3046,longgang,-1
41,41,2020-02-18 08:51:00,554,nanshan,1632
42,42,2020-02-18 08:51:00,1650,nanshan,1632
43,43,2020-02-18 08:51:00,3535,nanshan,1632
44,44,2020-02-18 08:51:00,1923,nanshan,1632
45,45,2020-02-18 08:51:00,12444,nanshan,1632
46,46,2020-02-18 08:51:00,1893,nanshan,1632
47,47,2020-02-18 08:54:00,1756,luohu,-1
48,48,2020-02-18 09:08:00,4911,nanshan,410
49,49,2020-02-18 09:08:00,1874,nanshan,1755
50,50,2020-02-18 09:08:00,1810,nanshan,1755
51,51,2020-02-18 09:08:00,1791,nanshan,1755
52,52,2020-02-18 09:08:00,1786,nanshan,1755
53,53,2020-02-18 09:12:00,1570,nanshan,732
54,54,2020-02-18 09:12:00,2024,nanshan,732
55,55,2020-02-18 09:12:00,2085,nanshan,732
56,56,2020-02-18 09:12:00,5990,nanshan,732
57,57,2020-02-18 09:12:00,6607,nanshan,732
58,58,2020-02-18 09:17:00,2330,futian,1788
59,59,2020-02-18 09:17:00,1968,futian,1788
60,60,2020-02-18 09:17:00,1848,futian,1788
61,61,2020-02-18 09:17:00,1752,futian,1788
62,62,2020-02-18 09:18:00,1859,nanshan,1814
63,63,2020-02-18 09:18:00,1862,nanshan,1814
64,64,2020-02-18 09:18:00,2136,nanshan,1814
65,65,2020-02-18 09:18:00,2569,nanshan,1814
66,66,2020-02-18 09:18:00,2850,nanshan,1814
67,67,2020-02-18 09:18:00,1896,nanshan,1814
68,68,2020-02-18 09:19:00,1902,luohu,1799
69,69,2020-02-18 09:19:00,1868,luohu,1799
70,70,2020-02-18 09:19:00,1887,luohu,1799
71,71,2020-02-18 09:19:00,1895,luohu,1799
72,72,2020-02-18 09:19:00,1918,luohu,1799
73,73,2020-02-18 09:19:00,1851,luohu,1799
74,74,2020-02-18 09:19:00,1932,luohu,1799
75,75,2020-02-18 09:19:00,2053,luohu,1799
76,76,2020-02-18 09:19:00,6819,luohu,1799
77,77,2020-02-18 09:19:00,6852,luohu,1799
78,78,2020-02-18 09:19:00,14610,luohu,1799
79,79,2020-02-18 09:19:00,1932,luohu,1799
80,80,2020-02-18 09:19:00,6995,luohu,1799
81,81,2020-02-18 09:20:00,1885,longhua,1757
82,82,2020-02-18 09:21:00,2072,longgang,1811
83,83,2020-02-18 09:21:00,3657,longgang,1811
84,84,2020-02-18 09:22:00,2277,shenshan,1837
85,85,2020-02-18 09:22:00,2077,shenshan,1837
86,86,2020-02-18 09:22:00,2035,shenshan,1837
87,87,2020-02-18 09:22:00,1949,shenshan,1837
88,88,2020-02-18 09:23:00,652,yantian,346
89,89,2020-02-18 09:23:00,498,yantian,346
90,90,2020-02-18 09:23:00,498,yantian,346
91,91,2020-02-18 09:23:00,403,yantian,346
92,92,2020-02-18 09:25:00,1980,longgang,1811
93,93,2020-02-18 09:25:00,2045,longgang,1811
94,94,2020-02-18 09:25:00,2072,longgang,1811
95,95,2020-02-18 09:25:00,2096,longgang,1811
96,96,2020-02-18 09:25:00,2236,longgang,1811
97,97,2020-02-18 09:25:00,2226,longgang,1811
98,98,2020-02-18 09:25:00,2242,longgang,1811
99,99,2020-02-18 09:25:00,2255,longgang,1811
100,100,2020-02-18 09:25:00,2103,longgang,1811
101,101,2020-02-18 09:26:00,1991,dapeng,722
102,102,2020-02-18 09:26:00,1992,dapeng,722
103,103,2020-02-18 09:26:00,1988,dapeng,722
104,104,2020-02-18 09:26:00,1996,dapeng,722
105,105,2020-02-18 09:26:00,1977,dapeng,722
106,106,2020-02-18 09:26:00,1931,dapeng,722
107,107,2020-02-18 09:26:00,1925,dapeng,722
108,108,2020-02-18 09:26:00,1983,dapeng,722
109,109,2020-02-18 09:26:00,2003,dapeng,722
110,110,2020-02-18 09:26:00,2237,dapeng,722
111,111,2020-02-18 09:26:00,2006,dapeng,722
112,112,2020-02-18 09:26:00,2012,dapeng,722
113,113,2020-02-18 09:26:00,2013,dapeng,722
114,114,2020-02-18 09:26:00,2027,dapeng,722
115,115,2020-02-18 09:26:00,2033,dapeng,722
116,116,2020-02-18 09:26:00,2034,dapeng,722
117,117,2020-02-18 09:26:00,2079,dapeng,722
118,118,2020-02-18 09:26:00,2092,dapeng,722
119,119,2020-02-18 09:26:00,2099,dapeng,722
120,120,2020-02-18 09:26:00,2004,dapeng,722
121,121,2020-02-18 09:30:00,1971,futian,-1
122,122,2020-02-18 09:30:00,2089,futian,-1
123,123,2020-02-18 09:30:00,2211,futian,-1
124,124,2020-02-18 09:30:00,9643,futian,-1
125,125,2020-02-18 09:30:00,9643,futian,-1
126,126,2020-02-18 09:30:00,12965,futian,-1
127,127,2020-02-18 09:30:00,2401,futian,-1
128,128,2020-02-18 09:31:00,1997,nanshan,1780
129,129,2020-02-18 09:31:00,2315,yantian,394
130,130,2020-02-18 09:31:00,1975,nanshan,1780
131,131,2020-02-18 09:31:00,1981,nanshan,1780
132,132,2020-02-18 09:31:00,1990,nanshan,1780
133,133,2020-02-18 09:31:00,1995,nanshan,1780
134,134,2020-02-18 09:31:00,2078,nanshan,1780
135,135,2020-02-18 09:31:00,2806,nanshan,1780
136,136,2020-02-18 09:31:00,2109,nanshan,1780
137,137,2020-02-18 09:31:00,2120,nanshan,1780
138,138,2020-02-18 09:31:00,2141,nanshan,1780
139,139,2020-02-18 09:31:00,2188,nanshan,1780
140,140,2020-02-18 09:31:00,4032,nanshan,1780
141,141,2020-02-18 09:31:00,4035,nanshan,1780
142,142,2020-02-18 09:31:00,4277,nanshan,1780
143,143,2020-02-18 09:31:00,2084,nanshan,1780
144,144,2020-02-18 09:36:00,2925,baoan,-1
145,145,2020-02-18 09:36:00,2269,baoan,-1
146,146,2020-02-18 09:36:00,1456,baoan,-1
147,147,2020-02-18 09:36:00,1447,baoan,-1
148,148,2020-02-18 09:36:00,1383,baoan,-1
149,149,2020-02-18 09:38:00,2148,shenshan,1957
150,150,2020-02-18 09:38:00,2272,shenshan,1957
151,151,2020-02-18 09:38:00,2077,shenshan,1957
152,152,2020-02-18 09:38:00,2384,shenshan,1957
153,153,2020-02-18 09:38:00,2425,shenshan,1957
154,154,2020-02-18 09:38:00,2341,dapeng,1964
155,155,2020-02-18 09:38:00,2369,shenshan,1957
156,156,2020-02-18 09:40:00,1889,luohu,1913
157,157,2020-02-18 09:40:00,2023,luohu,1913
158,158,2020-02-18 09:40:00,2057,luohu,1913
159,159,2020-02-18 09:40:00,2088,luohu,1913
160,160,2020-02-18 09:40:00,2142,luohu,1913
161,161,2020-02-18 09:40:00,2156,luohu,1913
162,162,2020-02-18 09:40:00,2176,luohu,1913
163,163,2020-02-18 09:40:00,2160,luohu,1913
164,164,2020-02-18 09:40:00,2197,luohu,1913
165,165,2020-02-18 09:40:00,2207,luohu,1913
166,166,2020-02-18 09:40:00,2221,luohu,1913
167,167,2020-02-18 09:40:00,2244,luohu,1913
168,168,2020-02-18 09:40:00,2070,futian,1890
169,169,2020-02-18 09:40:00,2100,futian,1890
170,170,2020-02-18 09:40:00,2155,futian,1890
171,171,2020-02-18 09:40:00,2172,futian,1890
172,172,2020-02-18 09:40:00,2178,luohu,1913
173,173,2020-02-18 09:42:00,3351,nanshan,2001
174,174,2020-02-18 09:42:00,1731,nanshan,2001
175,175,2020-02-18 09:42:00,2246,nanshan,2001
176,176,2020-02-18 09:42:00,2279,nanshan,2001
177,177,2020-02-18 09:42:00,3105,nanshan,2001
178,178,2020-02-18 09:42:00,4305,nanshan,2001
179,179,2020-02-18 09:42:00,2167,nanshan,1866
180,180,2020-02-18 09:42:00,2087,nanshan,1866
181,181,2020-02-18 09:42:00,2157,nanshan,1866
182,182,2020-02-18 09:42:00,2404,nanshan,1866
183,183,2020-02-18 09:42:00,4826,nanshan,1866
184,184,2020-02-18 09:42:00,10550,nanshan,1866
185,185,2020-02-18 09:42:00,4342,nanshan,2001
186,186,2020-02-18 09:47:00,2272,shenshan,1957
187,187,2020-02-18 09:47:00,2148,shenshan,1957
188,188,2020-02-18 09:47:00,2384,shenshan,1957
189,189,2020-02-18 09:47:00,2425,shenshan,1957
190,190,2020-02-18 09:47:00,2369,shenshan,1957
191,191,2020-02-18 09:51:00,7787,nanshan,2043
192,192,2020-02-18 09:51:00,2318,longgang,2110
193,193,2020-02-18 09:51:00,2248,longgang,2110
194,194,2020-02-18 09:51:00,2222,longgang,2110
195,195,2020-02-18 09:51:00,2219,longgang,2110
196,196,2020-02-18 09:51:00,2194,longgang,2110
197,197,2020-02-18 09:52:00,2208,dapeng,310
198,198,2020-02-18 09:52:00,2212,dapeng,310
199,199,2020-02-18 09:52:00,2238,dapeng,310
200,200,2020-02-18 09:52:00,2228,dapeng,310
201,201,2020-02-18 09:52:00,2254,dapeng,310
202,202,2020-02-18 09:52:00,2583,dapeng,310
203,203,2020-02-18 09:53:00,12997,nanshan,2043
204,204,2020-02-18 09:53:00,4382,futian,1917
205,205,2020-02-18 09:53:00,2332,futian,1917
206,206,2020-02-18 09:53:00,2291,futian,1917
207,207,2020-02-18 09:53:00,2266,futian,1917
208,208,2020-02-18 09:53:00,2206,futian,1917
209,209,2020-02-18 09:53:00,508,futian,1917
210,210,2020-02-18 09:55:00,2280,yantian,2165
211,211,2020-02-18 09:57:00,1187,futian,982
212,212,2020-02-18 09:57:00,2270,futian,982
213,213,2020-02-18 09:57:00,4244,futian,982
214,214,2020-02-18 09:57:00,2309,futian,982
215,215,2020-02-18 09:57:00,2402,futian,982
216,216,2020-02-18 09:58:00,7319,nanshan,485
217,217,2020-02-18 09:58:00,2491,nanshan,485
218,218,2020-02-18 09:58:00,2017,nanshan,485
219,219,2020-02-18 09:58:00,2380,longhua,2131
220,220,2020-02-18 09:58:00,2363,longhua,2131
221,221,2020-02-18 10:00:00,2415,baoan,1824
222,222,2020-02-18 10:00:00,2286,baoan,1824
223,223,2020-02-18 10:00:00,2342,futian,1942
224,224,2020-02-18 10:00:00,13394,baoan,1824
225,225,2020-02-18 10:00:00,724,baoan,1824
226,226,2020-02-18 10:00:00,1974,futian,1942
227,227,2020-02-18 10:00:00,3604,futian,1942
228,228,2020-02-18 10:00:00,2143,futian,1942
229,229,2020-02-18 10:00:00,2305,futian,1942
230,230,2020-02-18 10:00:00,2335,futian,1942
231,231,2020-02-18 10:00:00,2495,futian,1942
232,232,2020-02-18 10:00:00,2118,futian,1942
233,233,2020-02-18 10:01:00,2360,longgang,1911
234,234,2020-02-18 10:02:00,2408,yantian,1939
235,235,2020-02-18 10:02:00,2323,yantian,1939
236,236,2020-02-18 10:02:00,4297,longgang,2256
237,237,2020-02-18 10:02:00,2610,longgang,2256
238,238,2020-02-18 10:05:00,6599,nanshan,2130
239,239,2020-02-18 10:05:00,2523,nanshan,2130
240,240,2020-02-18 10:05:00,2509,nanshan,2130
241,241,2020-02-18 10:06:00,1647,nanshan,2231
242,242,2020-02-18 10:06:00,2472,nanshan,2231
243,243,2020-02-18 10:06:00,365,nanshan,2231
244,244,2020-02-18 10:06:00,2511,nanshan,2231
245,245,2020-02-18 10:06:00,6924,shenshan,2234
246,246,2020-02-18 10:06:00,3349,nanshan,2231
247,247,2020-02-18 10:06:00,3386,nanshan,2231
248,248,2020-02-18 10:06:00,5179,shenshan,2234
249,249,2020-02-18 10:06:00,5353,shenshan,2234
250,250,2020-02-18 10:06:00,3248,nanshan,2231
251,251,2020-02-18 10:07:00,2720,nanshan,2285
252,252,2020-02-18 10:07:00,2623,nanshan,2285
253,253,2020-02-18 10:07:00,2534,nanshan,2285
254,254,2020-02-18 10:07:00,2502,nanshan,2285
255,255,2020-02-18 10:07:00,2423,nanshan,2285
256,256,2020-02-18 10:07:00,1462,nanshan,2285
257,257,2020-02-18 10:07:00,2298,longgang,2125
258,258,2020-02-18 10:07:00,2287,longgang,2125
259,259,2020-02-18 10:08:00,5658,longgang,2325
260,260,2020-02-18 10:08:00,1547,longgang,2249
261,261,2020-02-18 10:08:00,3056,longgang,2325
262,262,2020-02-18 10:08:00,2957,longgang,2249
263,263,2020-02-18 10:08:00,3022,longgang,2249
264,264,2020-02-18 10:08:00,2916,longgang,2249
265,265,2020-02-18 10:09:00,2842,longgang,2276
266,266,2020-02-18 10:09:00,2519,longgang,2336
267,267,2020-02-18 10:09:00,2476,longgang,2336
268,268,2020-02-18 10:10:00,11579,nanshan,485
269,269,2020-02-18 10:10:00,7319,nanshan,485
270,270,2020-02-18 10:11:00,2430,futian,85228
271,271,2020-02-18 10:11:00,2422,futian,85228
272,272,2020-02-18 10:11:00,2416,futian,85228
273,273,2020-02-18 10:11:00,31121,nanshan,485
274,274,2020-02-18 10:11:00,7319,nanshan,485
275,275,2020-02-18 10:11:00,30916,nanshan,485
276,276,2020-02-18 10:11:00,30779,nanshan,485
277,277,2020-02-18 10:11:00,2431,futian,85228
278,278,2020-02-18 10:11:00,48,nanshan,485
279,279,2020-02-18 10:11:00,31035,nanshan,485
280,280,2020-02-18 10:11:00,2436,futian,85228
281,281,2020-02-18 10:11:00,6734,nanshan,485
282,282,2020-02-18 10:11:00,2450,futian,85228
283,283,2020-02-18 10:11:00,2460,futian,85228
284,284,2020-02-18 10:11:00,2505,futian,85228
285,285,2020-02-18 10:11:00,2573,futian,85228
286,286,2020-02-18 10:11:00,2585,futian,85228
