,Follower,Followee,Weight
322,1547,2916,1
323,2780,2920,1
324,2590,2923,1
325,2908,2937,1
326,2920,2938,1
327,3904,2952,1
328,2916,2957,1
329,2318,2964,1
330,2568,2974,1
331,2781,2978,1
332,2920,2990,1
333,3417,2993,1
334,2783,3000,1
335,2920,3010,1
336,3199,3022,1
337,2783,3033,1
338,3095,3037,1
339,1670,3045,1
340,2590,3052,1
341,84649,3055,1
342,3199,3056,1
343,2783,3058,1
344,3483,3065,1
345,2318,3089,1
346,2318,3091,1
347,3173,3095,1
348,2590,3101,1
349,4342,3105,1
350,4308,3110,1
351,3214,3122,1
352,6651,3130,1
353,3196,3134,1
354,2651,3139,1
355,2590,3140,1
356,2675,3144,1
357,1848,3147,1
358,3501,3150,1
359,3134,3151,1
360,3633,3157,1
361,3417,3161,1
362,3095,3173,1
363,3632,3176,1
364,13352,3182,1
365,3262,3188,1
366,3095,3191,1
367,3632,3195,1
368,3134,3196,1
369,3022,3199,1
370,2661,3203,1
371,3122,3214,1
372,84649,3215,1
373,3501,3220,1
374,6313,3222,1
375,3095,3243,1
376,2472,3248,1
377,3582,3262,1
378,3095,3263,1
379,3483,3270,1
380,3509,3276,1
381,2407,3277,1
382,84649,3283,1
383,84649,3286,1
384,2407,3288,1
385,84649,3292,1
386,3101,3293,1
387,3095,3303,1
388,84649,3306,1
389,3483,3307,1
390,3033,3311,1
391,84649,3321,1
392,3632,3329,1
393,3743,3339,1
394,2472,3349,1
395,3105,3351,1
396,2675,3372,1
397,3740,3374,1
398,3630,3380,1
399,3220,3384,1
400,2472,3386,1
401,3555,3394,1
402,3483,3400,1
403,3914,3406,1
404,3777,3407,1
405,84649,3409,1
406,3777,3414,1
407,2280,3417,1
408,3740,3427,1
409,3840,3429,1
410,3555,3436,1
411,3483,3444,1
412,3740,3448,1
413,3740,3449,1
414,3555,3453,1
415,3914,3463,1
416,3555,3464,1
417,4288,3466,1
418,3483,3468,1
419,3555,3469,1
420,3509,3473,1
421,3555,3477,1
422,2675,3478,1
423,4686,3479,1
424,2407,3482,1
425,3910,3483,1
426,8672,3490,1
427,3449,3493,1
428,3509,3497,1
429,3220,3501,1
430,3497,3509,1
431,3555,3513,1
432,6884,3514,1
433,3555,3520,1
434,3555,3522,1
435,3220,3530,1
436,1923,3535,1
437,3545,3542,1
438,3542,3545,1
439,4127,3550,1
440,4022,3555,1
441,7376,3566,1
442,3754,3568,1
443,3644,3570,1
444,4696,3576,1
445,5800,3577,1
446,3555,3579,1
447,3262,3582,1
448,4176,3593,1
449,4308,3594,1
450,2045,3597,1
451,3582,3598,1
452,2335,3604,1
453,4696,3605,1
454,2318,3607,1
455,4696,3614,1
456,2045,3626,1
457,3380,3630,1
458,3195,3632,1
459,3157,3633,1
460,1848,3638,1
461,3394,3641,1
462,6266,3644,1
463,3970,3655,1
464,2045,3657,1
465,3483,3659,1
466,3095,3667,1
467,2045,3674,1
468,3740,3684,1
469,3766,3720,1
470,3110,3731,1
471,4331,3732,1
472,3509,3733,1
473,6651,3734,1
474,2045,3735,1
475,4594,3740,1
476,4935,3742,1
477,3339,3743,1
478,3568,3754,1
479,4674,3755,1
480,6651,3758,1
481,3394,3764,1
482,3720,3766,1
483,6800,3772,1
484,4015,3775,1
485,2460,3776,1
486,3407,3777,1
487,3483,3782,1
488,3483,3783,1
489,6800,3787,1
490,2472,3794,1
491,3483,3801,1
492,2475,3806,1
493,3483,3816,1
494,4095,3822,1
495,6651,3824,1
496,2568,3827,1
497,2057,3834,1
498,2472,3836,1
499,4095,3840,1
500,3483,3842,1
501,2731,3843,1
502,84649,3845,1
503,7374,3846,1
504,6651,3851,1
505,3775,3853,1
506,3449,3861,1
507,6651,3877,1
508,4095,3885,1
509,6651,3886,1
510,3509,3887,1
511,3449,3900,1
512,3633,3904,1
513,3932,3909,1
514,3483,3910,1
515,3095,3914,1
516,6939,3915,1
517,5728,3917,1
518,6128,3920,1
519,4344,3923,1
520,84649,3928,1
521,3909,3932,1
522,3483,3934,1
523,3923,3938,1
524,3632,3945,1
525,2472,3946,1
526,2391,3953,1
527,6651,3956,1
528,3775,3967,1
529,3577,3969,1
530,2568,3970,1
531,6651,3974,1
532,3222,3975,1
533,2568,3987,1
534,4185,3992,1
535,3775,4015,1
536,3555,4022,1
537,6651,4030,1
538,1975,4032,1
539,4269,4033,1
540,1995,4035,1
541,6651,4041,1
542,4033,4047,1
543,2472,4053,1
544,2475,4054,1
545,3840,4056,1
546,3555,4057,1
547,3262,4062,1
548,6751,4066,1
549,6651,4072,1
550,4033,4075,1
551,8268,4078,1
552,6651,4084,1
553,545,4086,1
554,4245,4095,1
555,2472,4100,1
556,6128,4114,1
557,1619,4120,1
558,6128,4126,1
559,6128,4127,1
560,6651,4134,1
561,4033,4143,1
562,4033,4148,1
563,8749,4150,1
564,2318,4155,1
565,4197,4170,1
566,3593,4176,1
567,3992,4185,1
568,4686,4193,1
569,4170,4197,1
570,4509,4214,1
571,4095,4219,1
572,9859,4227,1
573,4170,4230,1
574,545,4236,1
